"UserId","TransactionId","TransactionTime","ItemCode","ItemDescription","NumberOfItemsPurchased","CostPerItem","Country"
"278166","6355745","Sat Feb 02 12:50:00 IST 2019","465549","FAMILY ALBUM WHITE PICTURE FRAME","6","11.73","United Kingdom"
"337701","6283376","Wed Dec 26 09:06:00 IST 2018","482370","LONDON BUS COFFEE MUG","3","3.52","United Kingdom"
"267099","6385599","Fri Feb 15 09:45:00 IST 2019","490728","SET 12 COLOUR PENCILS DOLLY GIRL ","72","0.9","France"
"380478","6044973","Fri Jun 22 07:14:00 IST 2018","459186","UNION JACK FLAG LUGGAGE TAG","3","1.73","United Kingdom"
"-1","6143225","Mon Sep 10 11:58:00 IST 2018","1733592","WASHROOM METAL SIGN","3","3.4","United Kingdom"
"285957","6307136","Fri Jan 11 09:50:00 IST 2019","1787247","CUT GLASS T-LIGHT HOLDER OCTAGON","12","3.52","United Kingdom"
"345954","6162981","Fri Sep 28 10:51:00 IST 2018","471576","NATURAL SLATE CHALKBOARD LARGE ","9","6.84","United Kingdom"
"-1","6143225","Mon Sep 10 11:58:00 IST 2018","447867","SKULLS WRITING SET ","120","1.15","United Kingdom"
"339822","6255403","Mon Dec 10 09:23:00 IST 2018","1783845","MULTI COLOUR SILVER T-LIGHT HOLDER","36","1.18","United Kingdom"
"328440","6387425","Sat Feb 16 10:35:00 IST 2019","494802","SET OF 6 RIBBONS PERFECTLY PRETTY  ","36","3.99","United Kingdom"
"316848","6262696","Sat Dec 15 10:05:00 IST 2018","460215","RED  HARMONICA IN BOX ","36","1.73","United Kingdom"
"372897","6199061","Mon Oct 29 09:04:00 IST 2018","459669","WOODEN BOX OF DOMINOES","3","1.73","United Kingdom"
"364791","6358242","Sun Feb 03 09:25:00 IST duse spark2019","486276","SET OF 5 MINI GROCERY MAGNETS","3","2.88","United Kingdom"
"-1","6058140","Mon Jul 02 07:33:00 IST 2018","435225","LUNCH BAG RED RETROSPOT","60","6.85","United Kingdom"
"321321","6254358","Mon Dec 10 05:43:00 IST 2018","455868","FOLDING UMBRELLA CREAM POLKADOT","12","6.84","United Kingdom"
"304353","6328674","Mon Jan 21 09:54:00 IST 2019","477246","ALARM CLOCK BAKELIKE GREEN","24","5.18","United Kingdom"
"369852","6075883","Sat Jul 21 08:14:00 IST 2018","477036","CARD CIRCUS PARADE","36","0.58","United Kingdom"
"-1","6288843","Sun Dec 30 12:58:00 IST 2018","489594","VINTAGE CHRISTMAS TABLECLOTH","3","34.45","United Kingdom"
"278985","6064025","Mon Jul 09 09:03:00 IST 2018","1771938","SET OF 3 HEART COOKIE CUTTERS","36","1.73","United Kingdom"
"331884","6223569","Sun Nov 18 11:14:00 IST 2018","461622","PACK OF 12 SUKI TISSUES ","72","0.54","United Kingdom"
"335580","6031883","Mon Jun 11 11:05:00 IST 2018","476028","PINK BABY BUNTING","150","3.52","United Kingdom"
"364308","6257163","Tue Dec 11 07:39:00 IST 2018","434028","DISCO BALL CHRISTMAS DECORATION","72","0.17","United Kingdom"
"262269","5945093","Wed Mar 21 09:13:00 IST 2018","474726","WOODEN SKITTLES GARDEN SET","6","22.02","France"
